GeneID	TranscriptID	GeneDescription	GeneName
AFUN018978	AFUN018978-RA	60S ribosomal protein L22 [Source:Projected from Anopheles gambiae (AGAP005046) VB Community Annotation]	
AFUN018979	AFUN018979-RA	unspecified product	
AFUN018980	AFUN018980-RA	unspecified product	
AFUN018980	AFUN018980-RB	unspecified product	
AFUN018981	AFUN018981-RA	Peptidase S1 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A4Y0BJ94]	
AFUN018982	AFUN018982-RA	A2M domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A4Y0BFY1]	
AFUN018983	AFUN018983-RA	STAS domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A4Y0BEY8]	
AFUN018984	AFUN018984-RA	venom allergen [Source:Projected from Anopheles gambiae (AGAP006417) VB Community Annotation]	
AFUN018985	AFUN018985-RA	unspecified product	
AFUN018986	AFUN018986-RA	FAM110_C domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A4Y0BJ99]	
AFUN018987	AFUN018987-RA	unspecified product	
AFUN018988	AFUN018988-RA	unspecified product	
AFUN018989	AFUN018989-RA	HECT domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A4Y0BDN8]	
AFUN018990	AFUN018990-RA	unspecified product	
AFUN018991	AFUN018991-RA	unspecified product	
AFUN018992	AFUN018992-RA	unspecified product	
AFUN018993	AFUN018993-RA	NFkappaB essential modulator [Source:Projected from Anopheles gambiae (AGAP005933) VB Community Annotation]	
AFUN018994	AFUN018994-RA	ubiquitin carboxyl-terminal hydrolase 12/46 [Source:Projected from Anopheles gambiae (AGAP012139) VB Community Annotation]	
AFUN018995	AFUN018995-RA	3-hydroxyisobutyrate dehydrogenase [Source:Projected from Anopheles gambiae (AGAP005581) UniProtKB/TrEMBL;Acc:Q7PNN6]	
AFUN018996	AFUN018996-RA	protease m1 zinc metalloprotease [Source:Projected from Anopheles gambiae (AGAP004860) VB Community Annotation]	
AFUN018997	AFUN018997-RA	histone acetyltransferase MYST1 [Source:Projected from Anopheles gambiae (AGAP012229) VB Community Annotation]	
AFUN018998	AFUN018998-RA	unspecified product	
AFUN018999	AFUN018999-RA	unspecified product	
AFUN019000	AFUN019000-RA	unspecified product	
AFUN019001	AFUN019001-RA	Carboxypeptidase [Source:UniProtKB/TrEMBL;Acc:A0A4Y0BJB5]	
AFUN019002	AFUN019002-RA	HIT-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A4Y0BFZ8]	
AFUN019003	AFUN019003-RA	unspecified product	
AFUN019004	AFUN019004-RA	unspecified product	
AFUN019005	AFUN019005-RA	unspecified product	
AFUN019006	AFUN019006-RA	unspecified product	
AFUN019007	AFUN019007-RA	unspecified product	
AFUN019008	AFUN019008-RA	unspecified product	
AFUN019009	AFUN019009-RA	unspecified product	
AFUN019010	AFUN019010-RA	Exonuclease domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A4Y0BG76]	
AFUN019011	AFUN019011-RA	unspecified product	
AFUN019012	AFUN019012-RA	unspecified product	
AFUN019013	AFUN019013-RA	Kinesin-like protein [Source:UniProtKB/TrEMBL;Acc:A0A182RXT9]	
AFUN019014	AFUN019014-RA	unspecified product	
AFUN019015	AFUN019015-RA	RWD domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A4Y0BG80]	
AFUN019016	AFUN019016-RA	unspecified product	
AFUN019017	AFUN019017-RA	Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A4Y0BG13]	
AFUN019018	AFUN019018-RA	F-box domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182R1W5]	
AFUN019019	AFUN019019-RA	unspecified product	
AFUN019020	AFUN019020-RA	unspecified product	
AFUN019021	AFUN019021-RA	unspecified product	
AFUN019022	AFUN019022-RA	acetyl-CoA acyltransferase [Source:Projected from Anopheles gambiae (AGAP011827) VB Community Annotation]	
AFUN019023	AFUN019023-RA	unspecified product	
AFUN019024	AFUN019024-RA	unspecified product	
AFUN019025	AFUN019025-RA	Fatty acyl-CoA reductase [Source:UniProtKB/TrEMBL;Acc:A0A4Y0BG91]	
AFUN019026	AFUN019026-RA	fibrinogen and fibronectin [Source:Projected from Anopheles gambiae (AGAP012000) VB Community Annotation]	
AFUN019027	AFUN019027-RA	Fibrinogen C-terminal domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A4Y0BG21]	
AFUN019028	AFUN019028-RA	unspecified product	
AFUN019029	AFUN019029-RA	unspecified product	
AFUN019030	AFUN019030-RA	ML domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A4Y0BG94]	
AFUN019031	AFUN019031-RA	unspecified product	
AFUN019032	AFUN019032-RA	unspecified product	
AFUN019033	AFUN019033-RA	unspecified product	
AFUN019034	AFUN019034-RA	TIL domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A4Y0BDR7]	
AFUN019035	AFUN019035-RA	tubulin-specific chaperone D [Source:Projected from Anopheles gambiae (AGAP004782) VB Community Annotation]	
AFUN019036	AFUN019036-RA	40S ribosomal protein S26 [Source:UniProtKB/TrEMBL;Acc:A0A182RAI4]	
AFUN019037	AFUN019037-RA	TPR_REGION domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A4Y0BG30]	
AFUN019038	AFUN019038-RA	TIL domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A4Y0BF47]	
AFUN019039	AFUN019039-RA	unspecified product	
AFUN019040	AFUN019040-RA	General transcription factor IIH subunit 4 [Source:UniProtKB/TrEMBL;Acc:A0A4Y0BGA4]	
AFUN019041	AFUN019041-RA	AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A4Y0BJF5]	
AFUN019042	AFUN019042-RA	Carboxylic ester hydrolase [Source:UniProtKB/TrEMBL;Acc:A0A4Y0BG34]	
AFUN019043	AFUN019043-RA	unspecified product	
AFUN019044	AFUN019044-RA	U6 snRNA-associated Sm-like protein LSm8 [Source:UniProtKB/TrEMBL;Acc:A0A182R8T3]	
AFUN019045	AFUN019045-RA	DNA polymerase [Source:Projected from Anopheles gambiae (AGAP011731) UniProtKB/TrEMBL;Acc:A0A1S4H7C8]	
AFUN019046	AFUN019046-RA	Kinase [Source:UniProtKB/TrEMBL;Acc:A0A4Y0BJG1]	
AFUN019047	AFUN019047-RA	unspecified product	
AFUN019048	AFUN019048-RA	unspecified product	
AFUN019049	AFUN019049-RA	secretory phospholipase A2 [Source:Projected from Anopheles gambiae (AGAP011108) VB Community Annotation]	
AFUN019050	AFUN019050-RA	unspecified product	
AFUN019051	AFUN019051-RA	unspecified product	
AFUN019052	AFUN019052-RA	Abhydrolase domain-containing protein [Source:Projected from Anopheles gambiae (AGAP011970) UniProtKB/TrEMBL;Acc:A0A1S4H804]	
AFUN019053	AFUN019053-RA	unspecified product	
AFUN019054	AFUN019054-RA	unspecified product	
AFUN019055	AFUN019055-RA	DnaJ (Hsp40) homolog subfamily C [Source:Projected from Anopheles gambiae (AGAP010609) VB Community Annotation]	
AFUN019056	AFUN019056-RA	unspecified product	
AFUN019057	AFUN019057-RA	tubulin alpha [Source:Projected from Anopheles gambiae (AGAP010971) VB Community Annotation]	
AFUN019058	AFUN019058-RA	Fibrinogen C-terminal domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A4Y0BF68]	
AFUN019059	AFUN019059-RA	inhibitor of apoptosis [Source:Projected from Anopheles gambiae (AGAP007294) VB Community Annotation]	
AFUN019060	AFUN019060-RA	unspecified product	
AFUN019061	AFUN019061-RA	Peptidase S1 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A4Y0BJH9]	
AFUN019062	AFUN019062-RA	Peptidase S1 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A4Y0BG49]	
AFUN019063	AFUN019063-RA	A2M_N_2 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A4Y0BF72]	
AFUN019064	AFUN019064-RA	unspecified product	
AFUN019065	AFUN019065-RA	unspecified product	
AFUN019066	AFUN019066-RA	heme peroxidase [Source:Projected from Anopheles gambiae (AGAP013327) VB Community Annotation]	
AFUN019067	AFUN019067-RA	HIG1 hypoxia inducible domain family, member 1B [Source:Projected from Anopheles gambiae (AGAP010716) VB Community Annotation]	
AFUN019068	AFUN019068-RA	eRF1_2 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A4Y0BF78]	
AFUN019069	AFUN019069-RA	unspecified product	
AFUN019070	AFUN019070-RA	MICOS complex subunit MIC10 [Source:UniProtKB/TrEMBL;Acc:A0A182RVV8]	
AFUN019071	AFUN019071-RA	unspecified product	
AFUN019072	AFUN019072-RA	unspecified product	
AFUN019073	AFUN019073-RA	unspecified product	
AFUN019074	AFUN019074-RA	unspecified product	
AFUN019075	AFUN019075-RA	ubiquinol-cytochrome c reductase subunit [Source:Projected from Anopheles gambiae (AGAP012188) VB Community Annotation]	
AFUN019076	AFUN019076-RA	unspecified product	
AFUN019077	AFUN019077-RA	unspecified product	
AFUN019078	AFUN019078-RA	unspecified product	
AFUN019079	AFUN019079-RA	Lipase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A4Y0BDV2]	
AFUN019080	AFUN019080-RA	General transcription factor IIH subunit 4 [Source:UniProtKB/TrEMBL;Acc:A0A4Y0BGE2]	
AFUN019081	AFUN019081-RA	unspecified product	
AFUN019082	AFUN019082-RA	Ubiquitin-like domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A4Y0BG65]	
AFUN019083	AFUN019083-RA	HATPase_c domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A4Y0BF93]	
AFUN019084	AFUN019084-RA	unspecified product	
AFUN019085	AFUN019085-RA	unspecified product	
AFUN019086	AFUN019086-RA	NGG1 interacting factor 3-like protein [Source:Projected from Anopheles gambiae (AGAP012228) VB Community Annotation]	
AFUN019087	AFUN019087-RA	unspecified product	
AFUN019088	AFUN019088-RA	unspecified product	
AFUN019089	AFUN019089-RA	unspecified product	
AFUN019090	AFUN019090-RA	eIF2B_5 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A4Y0BNQ4]	
AFUN019091	AFUN019091-RA	Reactive oxygen species modulator [Source:Projected from Anopheles gambiae (AGAP012145) VB Community Annotation]	
AFUN019092	AFUN019092-RA	unspecified product	
AFUN019093	AFUN019093-RA	unspecified product	
AFUN019094	AFUN019094-RA	methyltransferase C20orf7 homolog, mitochondrial [Source:Projected from Anopheles gambiae (AGAP010842) VB Community Annotation]	
AFUN019095	AFUN019095-RA	prefoldin [Source:Projected from Anopheles gambiae (AGAP012235) VB Community Annotation]	
AFUN019096	AFUN019096-RA	Histone H3 [Source:UniProtKB/TrEMBL;Acc:A0A182S4N1]	
AFUN019097	AFUN019097-RA	Thioredoxin domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A4Y0BG77]	
AFUN019098	AFUN019098-RA	unspecified product	
AFUN019099	AFUN019099-RA	28 kDa heat-and acid-stable phosphoprotein [Source:Projected from Anopheles gambiae (AGAP011521) VB Community Annotation]	
AFUN019100	AFUN019100-RA	Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A4Y0BGF8]	
AFUN019101	AFUN019101-RA	conserved oligomeric Golgi complex subunit [Source:Projected from Anopheles gambiae (AGAP007586) VB Community Annotation]	
AFUN019102	AFUN019102-RA	unspecified product	
AFUN019103	AFUN019103-RA	unspecified product	
AFUN019104	AFUN019104-RA	Translocon-associated protein subunit beta [Source:UniProtKB/TrEMBL;Acc:A0A182R4I6]	
AFUN019105	AFUN019105-RA	unspecified product	
AFUN019106	AFUN019106-RA	cuticular protein RR-2 family [Source:Projected from Anopheles gambiae (AGAP010717) VB Community Annotation]	
AFUN019107	AFUN019107-RA	unspecified product	
AFUN019108	AFUN019108-RA	Metalloendopeptidase [Source:UniProtKB/TrEMBL;Acc:A0A4Y0BFB7]	
AFUN019109	AFUN019109-RA	unspecified product	
AFUN019110	AFUN019110-RA	MADF domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A4Y0BGG7]	
AFUN019111	AFUN019111-RA	unspecified product	
AFUN019112	AFUN019112-RA	unspecified product	
AFUN019113	AFUN019113-RA	unspecified product	
AFUN019114	AFUN019114-RA	unspecified product	
AFUN019115	AFUN019115-RA	unspecified product	
AFUN019116	AFUN019116-RA	SCP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A4Y0BJN6]	
AFUN019117	AFUN019117-RA	Niemann-Pick Type C-2 [Source:Projected from Anopheles gambiae (AGAP007415) VB Community Annotation]	
AFUN019118	AFUN019118-RA	phosphoglucomutase [Source:Projected from Anopheles gambiae (AGAP005860) VB Community Annotation]	
AFUN019119	AFUN019119-RA	RING-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A4Y0BDY1]	
AFUN019120	AFUN019120-RA	unspecified product	
AFUN019121	AFUN019121-RA	Lariat debranching enzyme [Source:Projected from Anopheles gambiae (AGAP006805) VB Community Annotation]	
AFUN019122	AFUN019122-RA	leucine-rich immune protein (Coil-less) [Source:Projected from Anopheles gambiae (AGAP010675) VB Community Annotation]	
AFUN019123	AFUN019123-RA	SF3A2 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A4Y0BFD2]	
AFUN019124	AFUN019124-RA	RAG1-activating protein 1-like protein [Source:Projected from Anopheles gambiae (AGAP006344) VB Community Annotation]	
AFUN019125	AFUN019125-RA	unspecified product	
AFUN019126	AFUN019126-RA	unspecified product	
AFUN019127	AFUN019127-RA	DNA_mis_repair domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A4Y0BGA1]	
AFUN019128	AFUN019128-RA	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex [Source:Projected from Anopheles gambiae (AGAP011130) VB Community Annotation]	
AFUN019129	AFUN019129-RA	unspecified product	
AFUN019130	AFUN019130-RA	ATP synthase subunit beta [Source:UniProtKB/TrEMBL;Acc:A0A4Y0BGI4]	
AFUN019131	AFUN019131-RA	unspecified product	
AFUN019132	AFUN019132-RA	tRNA-splicing ligase RtcB homolog [Source:Projected from Anopheles gambiae (AGAP008147) UniProtKB/Swiss-Prot;Acc:Q7Q412]	
AFUN019133	AFUN019133-RA	carbonic anhydrase [Source:Projected from Anopheles gambiae (AGAP010844) VB Community Annotation]	
AFUN019134	AFUN019134-RA	unspecified product	
AFUN019135	AFUN019135-RA	unspecified product	
AFUN019136	AFUN019136-RA	unspecified product	
AFUN019137	AFUN019137-RA	unspecified product	
AFUN019138	AFUN019138-RA	unspecified product	
AFUN019139	AFUN019139-RA	Peptidoglycan-recognition protein [Source:UniProtKB/TrEMBL;Acc:A0A4Y0BDZ8]	
AFUN019140	AFUN019140-RA	TIL domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A4Y0BGJ3]	
AFUN019141	AFUN019141-RA	Peptidoglycan-recognition protein [Source:UniProtKB/TrEMBL;Acc:A0A4Y0BDZ8]	
AFUN019142	AFUN019142-RA	unspecified product	
AFUN019143	AFUN019143-RA	cuticular protein RR-1 family [Source:Projected from Anopheles gambiae (AGAP006856) VB Community Annotation]	
AFUN019144	AFUN019144-RA	unspecified product	
AFUN019145	AFUN019145-RA	MFS domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A4Y0BGJ7]	
AFUN019146	AFUN019146-RA	unspecified product	
AFUN019147	AFUN019147-RA	DUF4797 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A4Y0BGB7]	
AFUN019148	AFUN019148-RA	unspecified product	
AFUN019149	AFUN019149-RA	unspecified product	
AFUN019150	AFUN019150-RA	unspecified product	
AFUN019151	AFUN019151-RA	Histidine triad nucleotide binding protein [Source:Projected from Anopheles gambiae (AGAP007577) VB Community Annotation]	
AFUN019152	AFUN019152-RA	Peptidase S1 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A4Y0BGC3]	
AFUN019153	AFUN019153-RA	Fibrinogen C-terminal domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A4Y0BFF6]	
AFUN019154	AFUN019154-RA	Ipi1_N domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A4Y0BE13]	
AFUN019155	AFUN019155-RA	unspecified product	
AFUN019156	AFUN019156-RA	RPOL4c domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A4Y0BJS3]	
AFUN019157	AFUN019157-RA	unspecified product	
AFUN019158	AFUN019158-RA	unspecified product	
AFUN019159	AFUN019159-RA	UBIQUITIN_CONJUGAT_2 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A4Y0BE15]	
AFUN019160	AFUN019160-RA	unspecified product	
AFUN019161	AFUN019161-RA	unspecified product	
AFUN019162	AFUN019162-RA	odorant-binding protein [Source:Projected from Anopheles gambiae (AGAP007289) VB Community Annotation]	
AFUN019163	AFUN019163-RA	cysteinyl-tRNA synthetase [Source:Projected from Anopheles gambiae (AGAP012283) VB Community Annotation]	
AFUN019164	AFUN019164-RA	Fibrinogen C-terminal domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A4Y0BE20]	
AFUN019165	AFUN019165-RA	RING-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A4Y0BGL4]	
AFUN019166	AFUN019166-RA	unspecified product	
AFUN019167	AFUN019167-RA	unspecified product	
AFUN019168	AFUN019168-RA	unspecified product	
AFUN019169	AFUN019169-RA	Alpha-amylase [Source:UniProtKB/TrEMBL;Acc:A0A4Y0BE22]	
AFUN019170	AFUN019170-RA	unspecified product	
AFUN019171	AFUN019171-RA	60S ribosomal protein L24 [Source:UniProtKB/TrEMBL;Acc:Q06DH7]	
AFUN019172	AFUN019172-RA	unspecified product	
AFUN019173	AFUN019173-RA	60S ribosomal protein L13a [Source:Projected from Anopheles gambiae (AGAP010257) VB Community Annotation]	
AFUN019174	AFUN019174-RA	60S ribosomal protein L26 [Source:Projected from Anopheles gambiae (AGAP002468) VB Community Annotation]	
AFUN019175	AFUN019175-RA	unspecified product	
AFUN019176	AFUN019176-RA	voltage-dependent calcium channel alpha 1, invertebrate [Source:Projected from Anopheles gambiae (AGAP002505) VB Community Annotation]	
AFUN019177	AFUN019177-RA	unspecified product	
AFUN019178	AFUN019178-RA	unspecified product	
AFUN019179	AFUN019179-RA	unspecified product	
AFUN019180	AFUN019180-RA	PlsC domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A4Y0BGM8]	
AFUN019181	AFUN019181-RA	unspecified product	
AFUN019181	AFUN019181-RB	unspecified product	
AFUN019182	AFUN019182-RA	unspecified product	
AFUN019183	AFUN019183-RA	Amidohydro-rel domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A4Y0BGN1]	
AFUN019183	AFUN019183-RB	Amidohydro-rel domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A4Y0BGN1]	
AFUN019184	AFUN019184-RA	BAH domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A4Y0BJV7]	
AFUN019185	AFUN019185-RA	Peptidase S1 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A4Y0BGF5]	
AFUN019186	AFUN019186-RA	unspecified product	
AFUN019187	AFUN019187-RA	unspecified product	
AFUN019188	AFUN019188-RA	unspecified product	
AFUN019189	AFUN019189-RA	polo-like kinase [Source:Projected from Anopheles gambiae (AGAP004239) VB Community Annotation]	
AFUN019190	AFUN019190-RA	DEAH (Asp-Glu-Ala-His) box polypeptide [Source:Projected from Anopheles gambiae (AGAP001338) VB Community Annotation]	
AFUN019190	AFUN019190-RB	DEAH (Asp-Glu-Ala-His) box polypeptide [Source:Projected from Anopheles gambiae (AGAP001338) VB Community Annotation]	
AFUN019191	AFUN019191-RA	unspecified product	
AFUN019192	AFUN019192-RA	unspecified product	
AFUN019193	AFUN019193-RA	unspecified product	
AFUN019194	AFUN019194-RA	hydroxybutyrate dehydrogenase [Source:Projected from Anopheles gambiae (AGAP002521) VB Community Annotation]	
AFUN019195	AFUN019195-RA	CLIP domain-containing serine protease [Source:UniProtKB/TrEMBL;Acc:A0A4Y0BFJ7]	
AFUN019196	AFUN019196-RA	unspecified product	
AFUN019197	AFUN019197-RA	unspecified product	
AFUN019198	AFUN019198-RA	G_PROTEIN_RECEP_F1_2 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A4Y0BJX6]	
AFUN019199	AFUN019199-RA	DHC_N2 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A4Y0BGG8]	
AFUN019200	AFUN019200-RA	Peptidase_M13_N domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A4Y0BFK4]	
AFUN019201	AFUN019201-RA	unspecified product	
AFUN019202	AFUN019202-RA	unspecified product	
AFUN019203	AFUN019203-RA	TPR_REGION domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A4Y0BJY1]	
AFUN019204	AFUN019204-RA	Mediator of RNA polymerase II transcription subunit 31 [Source:UniProtKB/TrEMBL;Acc:A0A4Y0BGH2]	
AFUN019205	AFUN019205-RA	dynamin GTPase [Source:Projected from Anopheles gambiae (AGAP003018) VB Community Annotation]	
AFUN019206	AFUN019206-RA	unspecified product	
AFUN019207	AFUN019207-RA	Integrase catalytic domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A4Y0BGQ3]	
AFUN019208	AFUN019208-RA	very-long-chain (3R)-3-hydroxyacyl-(acyl-carrier protein) dehydratase [Source:Projected from Anopheles gambiae (AGAP003815) VB Community Annotation]	
AFUN019209	AFUN019209-RA	Lkb1 interacting protein [Source:Projected from Anopheles gambiae (AGAP010218) VB Community Annotation]	
AFUN019210	AFUN019210-RA	unspecified product	
AFUN019211	AFUN019211-RA	Class B Scavenger Receptor (CD36 domain). [Source:Projected from Anopheles gambiae (AGAP010133) VB Community Annotation]	
AFUN019211	AFUN019211-RB	Class B Scavenger Receptor (CD36 domain). [Source:Projected from Anopheles gambiae (AGAP010133) VB Community Annotation]	
AFUN019212	AFUN019212-RA	unspecified product	
AFUN019213	AFUN019213-RA	unspecified product	
AFUN019214	AFUN019214-RA	unspecified product	
AFUN019215	AFUN019215-RA	unspecified product	
AFUN019216	AFUN019216-RA	unspecified product	
AFUN019217	AFUN019217-RA	FAT domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A4Y0BJZ8]	
AFUN019218	AFUN019218-RA	unspecified product	
AFUN019219	AFUN019219-RA	RanBP2-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A4Y0BFM2]	
AFUN019220	AFUN019220-RA	ATP-binding cassette transporter (ABC transporter) family A member [Source:Projected from Anopheles gambiae (AGAP001523) VB Community Annotation]	
AFUN019220	AFUN019220-RB	ATP-binding cassette transporter (ABC transporter) family A member [Source:Projected from Anopheles gambiae (AGAP001523) VB Community Annotation]	
AFUN019221	AFUN019221-RA	unspecified product	
AFUN019222	AFUN019222-RA	Peptidase S1 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A4Y0BGI9]	
AFUN019223	AFUN019223-RA	Tektin [Source:UniProtKB/TrEMBL;Acc:A0A4Y0BFM7]	
AFUN019224	AFUN019224-RA	unspecified product	
AFUN019225	AFUN019225-RA	unspecified product	
AFUN019226	AFUN019226-RA	unspecified product	
AFUN019227	AFUN019227-RA	CLIP domain-containing serine protease [Source:UniProtKB/TrEMBL;Acc:A0A4Y0BGJ4]	
AFUN019228	AFUN019228-RA	unspecified product	
AFUN019229	AFUN019229-RA	Peptidase S1 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A4Y0BE71]	
AFUN019230	AFUN019230-RA	Peptidylprolyl isomerase [Source:UniProtKB/TrEMBL;Acc:A0A182RYC9]	
AFUN019231	AFUN019231-RA	unspecified product	
AFUN019232	AFUN019232-RA	unspecified product	
AFUN019233	AFUN019233-RA	unspecified product	
AFUN019234	AFUN019234-RA	protein kinase A [Source:Projected from Anopheles gambiae (AGAP001384) VB Community Annotation]	
AFUN019235	AFUN019235-RA	unspecified product	
AFUN019236	AFUN019236-RA	unspecified product	
AFUN019237	AFUN019237-RA	unspecified product	
AFUN019238	AFUN019238-RA	nuclear pore complex protein Nup88 [Source:Projected from Anopheles gambiae (AGAP001179) VB Community Annotation]	
AFUN019239	AFUN019239-RA	TIL domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A4Y0BE78]	
AFUN019240	AFUN019240-RA	unspecified product	
AFUN019241	AFUN019241-RA	Peptidase S1 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A4Y0BK26]	
AFUN019242	AFUN019242-RA	unspecified product	
AFUN019243	AFUN019243-RA	unspecified product	
AFUN019244	AFUN019244-RA	unspecified product	
AFUN019244	AFUN019244-RB	unspecified product	
AFUN019245	AFUN019245-RA	cleavage stimulation factor subunit [Source:Projected from Anopheles gambiae (AGAP003019) VB Community Annotation]	
AFUN019246	AFUN019246-RA	unspecified product	
AFUN019247	AFUN019247-RA	unspecified product	
AFUN019248	AFUN019248-RA	60S ribosomal protein L30 [Source:UniProtKB/TrEMBL;Acc:A0A182R5Y7]	
AFUN019249	AFUN019249-RA	unspecified product	
AFUN019250	AFUN019250-RA	Netrin receptor UNC5 [Source:UniProtKB/TrEMBL;Acc:A0A4Y0BK37]	
AFUN019251	AFUN019251-RA	unspecified product	
AFUN019252	AFUN019252-RA	Peptidase S1 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A4Y0BFQ5]	
AFUN019253	AFUN019253-RA	unspecified product	
AFUN019254	AFUN019254-RA	unspecified product	
AFUN019255	AFUN019255-RA	RIC1 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A4Y0BK43]	
AFUN019256	AFUN019256-RA	nuclear pore complex protein Nup107 [Source:Projected from Anopheles gambiae (AGAP001685) VB Community Annotation]	
AFUN019257	AFUN019257-RA	unspecified product	
AFUN019258	AFUN019258-RA	unspecified product	
AFUN019259	AFUN019259-RA	ATP-binding cassette transporter (ABC transporter) family C member [Source:Projected from Anopheles gambiae (AGAP008437) UniProtKB/TrEMBL;Acc:A0A1S4GY97]	
AFUN019260	AFUN019260-RA	unspecified product	
AFUN019261	AFUN019261-RA	unspecified product	
AFUN019262	AFUN019262-RA	unspecified product	
AFUN019263	AFUN019263-RA	unspecified product	
AFUN019264	AFUN019264-RA	unspecified product	
AFUN019265	AFUN019265-RA	polyubiquitin [Source:Projected from Anopheles gambiae (AGAP001969) VB Community Annotation]	
AFUN019266	AFUN019266-RA	unspecified product	
AFUN019267	AFUN019267-RA	Phospholipid-transporting ATPase [Source:UniProtKB/TrEMBL;Acc:A0A4Y0BFS1]	
AFUN019268	AFUN019268-RA	cytochrome P450 [Source:Projected from Anopheles gambiae (AGAP002210) VB Community Annotation]	
AFUN019269	AFUN019269-RA	Aldedh domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A4Y0BGW2]	
AFUN019270	AFUN019270-RA	RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182RGQ1]	
AFUN019271	AFUN019271-RA	unspecified product	
AFUN019272	AFUN019272-RA	Regnase_1_C domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A4Y0BFS6]	
AFUN019273	AFUN019273-RA	unspecified product	
AFUN019274	AFUN019274-RA	unspecified product	
AFUN019275	AFUN019275-RA	C2H2-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A4Y0BK66]	
AFUN019276	AFUN019276-RA	unspecified product	
AFUN019277	AFUN019277-RA	Protein kinase C and casein kinase substrate in neurons 2 protein [Source:Projected from Anopheles gambiae (AGAP008046) UniProtKB/TrEMBL;Acc:A0A1S4GX35]	
AFUN019278	AFUN019278-RA	unspecified product	
AFUN019279	AFUN019279-RA	Ubiquitin-fold modifier-conjugating enzyme 1 [Source:UniProtKB/TrEMBL;Acc:A0A182RZT6]	
